,Risk_Tolerance,Portfolio_Diversity,Age,Annual_Income,Years_Experience,Successful_Investment,Risk_Tolerance_Clean
924,2,7.0,36.0,50863.29515166173,11.0,0,Medium
925,High,2.0,25.0,58109.846017149976,4.0,0,High
926,3,5.0,32.0,30132.36242126337,3.0,0,Medium
927,Medium,8.0,42.0,82951.29954549289,20.0,0,Medium
928,1,6.0,38.0,48987.957292873696,11.0,1,Medium
929,Medium,6.0,44.0,83936.03395165237,11.0,0,Medium
930,H,4.0,19.0,54404.83989332201,1.0,1,High
931,MEDIUM,8.0,58.0,54819.13758719672,12.0,1,Medium
932,Low,9.0,77.0,124919.52317143595,52.0,0,Low
933,Low,5.0,58.0,124426.87737701356,2.0,0,Low
934,Medium,9.0,48.0,108215.33651816862,17.0,1,Medium
935,Medium,9.0,28.0,67160.76604787479,2.0,0,Medium
936,Unknown,2.0,35.0,38772.9176095172,6.0,0,Medium
937,1,8.0,57.0,191440.6145388704,34.0,1,Medium
938,Low,5.0,51.0,66828.37501482347,30.0,0,Low
939,Low,10.0,70.0,64460.68265024641,33.0,1,Low
940,High,4.0,29.0,61548.13776358554,1.0,0,High
941,Medium,7.0,70.0,199063.94103963333,51.0,1,Medium
942,,5.0,38.0,24324.4376741928,12.0,0,Medium
943,low,5.0,57.0,150413.7330309139,20.0,0,Low
944,,5.0,34.0,75010.50878870947,0.0,0,Medium
945,,5.0,42.0,29218.690042346643,21.0,1,Medium
946,,3.0,52.0,88046.83077610406,28.0,1,Medium
947,High,1.0,34.0,24640.09058767055,9.0,1,High
948,High,6.0,43.0,65091.648591926016,16.0,1,High
949,MEDIUM,2.0,44.0,23607.88854755664,5.0,0,Medium
950,2,7.0,40.0,85258.14840000894,4.0,0,Medium
951,3,6.0,18.0,21777.456313948715,0.0,1,Medium
952,Low,5.0,42.0,59797.67713313834,17.0,0,Low
953,M,6.0,73.0,177218.40217842153,54.0,0,Medium
954,Medium,7.0,27.0,32969.29590497525,1.0,1,Medium
955,Medium,8.0,51.0,46741.092884354206,14.0,0,Medium
956,MEDIUM,5.0,46.0,42169.92676803684,14.0,0,Medium
957,medium,6.0,35.0,65091.648591926016,11.0,1,Medium
958,Medium,6.0,51.0,11547.258115537134,27.0,0,Medium
959,2,4.0,45.0,50015.44485479844,9.0,1,Medium
960,Medium,4.0,55.0,65091.648591926016,9.0,0,Medium
961,Medium,4.0,44.0,91621.92258140312,34.0,0,Medium
962,1,8.0,55.0,37781.1846811201,35.0,1,Medium
963,Medium,9.0,53.0,158544.90346178252,31.0,1,Medium
964,Low,9.0,44.0,98605.58473484816,0.0,1,Low
965,1,8.0,56.0,68961.86006727976,16.0,1,Medium
966,High,-1.0,29.0,73391.08092552825,5.0,0,High
967,Medium,3.0,61.0,89853.1514606986,43.0,0,Medium
968,Medium,15.0,40.0,104138.61974028494,8.0,1,Medium
969,High,3.0,49.0,88612.10727281893,6.0,1,High
970,M,5.0,45.0,74702.39450347221,11.0,1,Medium
971,Low,9.0,66.0,127335.23923002872,45.0,1,Low
972,Medium,3.0,22.0,31052.4661879111,0.0,0,Medium
973,HIGH,4.0,38.0,69548.45425887374,15.0,0,High
974,,2.0,57.0,139028.38706210785,8.0,0,Medium
975,3,3.0,42.0,45918.130737097,6.0,1,Medium
976,Low,6.0,54.0,94946.76901887415,36.0,1,Low
977,Low,8.0,60.0,65091.648591926016,25.0,1,Low
978,2,5.0,52.0,141607.00291623847,33.0,1,Medium
979,Medium,8.0,57.0,79586.85907822152,34.0,1,Medium
980,Low,4.0,78.0,99611.42672893275,11.0,1,Low
981,High,4.0,35.0,69104.91004987808,4.0,0,High
982,Low,8.0,52.0,23250.85579779037,25.0,1,Low
983,Low,6.0,52.0,93701.92843556635,32.0,1,Low
984,Low,6.0,44.0,61480.88592591777,10.0,0,Low
985,M,7.0,53.0,128561.63615020782,23.0,0,Medium
986,Medium,2.0,16.0,32024.343809832597,0.0,0,Medium
987,2,4.0,26.0,74114.83685187328,8.0,0,Medium
988,High,5.0,45.0,86020.18620593267,11.0,0,High
989,Unknown,9.0,57.0,58167.46817216369,3.0,1,Medium
990,Unknown,2.0,54.0,1619300.816556022,2.0,0,Medium
991,Medium,2.0,42.0,65091.648591926016,5.0,0,Medium
992,Medium,5.0,46.0,47874.32559076873,17.0,0,Medium
993,3,4.0,35.0,73553.69946029513,11.0,0,Medium
994,Unknown,8.0,54.0,55349.18264382695,2.0,1,Medium
995,Medium,9.0,32.0,63366.19429872053,5.0,0,Medium
996,LOW,4.0,63.0,87179.7252394587,16.0,0,Low
997,1,10.0,43.0,75840.86190887641,11.0,1,Medium
998,,8.0,68.0,16164.393722475828,30.0,1,Medium
999,Medium,7.0,29.0,65091.648591926016,7.0,0,Medium
1000,Low,5.0,44.0,75869.3834993358,15.0,0,Low
1001,,6.0,52.0,37607.03381188696,30.0,0,Medium
1002,Medium,9.0,51.0,40339.64904670087,15.0,1,Medium
1003,High,1.0,28.0,20006.17438561469,10.0,0,High
1004,MEDIUM,5.0,65.0,142970.7221381691,11.0,0,Medium
1005,Unknown,4.0,41.0,51163.723070699714,10.0,0,Medium
1006,2,7.0,48.0,112659.2381653956,20.0,1,Medium
1007,Unknown,3.0,43.0,97015.7061905397,7.0,0,Medium
1008,Medium,8.0,44.0,51988.161460503965,11.0,1,Medium
1009,,5.0,43.0,72096.60642822385,0.0,0,Medium
1010,3,3.0,28.0,32767.69133738452,1.0,0,Medium
1011,MEDIUM,4.0,16.0,16524.528809452066,0.0,0,Medium
1012,Medium,8.0,31.0,22031.75311752724,6.0,0,Medium
1013,3,2.0,55.0,100390.83696501996,33.0,1,Medium
1014,medium,4.0,44.0,65091.648591926016,11.0,0,Medium
1015,Medium,5.0,48.0,79380.0867261691,2.0,1,Medium
1016,M,7.0,64.0,116558.03644355362,34.0,1,Medium
1017,3,5.0,32.0,39156.076596903134,10.0,1,Medium
1018,High,6.0,44.0,67175.27208142902,26.0,1,High
1019,High,5.0,31.0,41325.39494108644,0.0,0,High
1020,Medium,2.0,37.0,88774.70332416256,4.0,0,Medium
1021,Medium,5.0,42.0,81878.90696892912,12.0,1,Medium
1022,1,5.0,68.0,159347.34238724862,11.0,0,Medium
1023,Low,-1.0,57.0,68185.89612566378,8.0,0,Low
1024,1,8.0,45.0,61524.94574745924,27.0,0,Medium
1025,High,5.0,27.0,0.0,11.0,0,High
1026,Medium,4.0,41.0,112365.04036543622,21.0,1,Medium
1027,Low,4.0,57.0,66677.60038132618,20.0,1,Low
1028,Medium,7.0,35.0,56793.4130752157,9.0,1,Medium
1029,High,2.0,32.0,56000.41014715728,13.0,1,High
1030,M,4.0,49.0,104484.94887432508,31.0,1,Medium
1031,3,6.0,39.0,45842.736226871646,13.0,1,Medium
1032,High,5.0,25.0,9560.975297740766,4.0,0,High
1033,M,9.0,62.0,41562.45837681339,29.0,1,Medium
1034,Low,8.0,63.0,123024.5434241159,37.0,1,Low
1035,H,5.0,46.0,41060.71146614211,13.0,0,High
1036,M,7.0,57.0,115803.25971002333,10.0,1,Medium
1037,Unknown,1.0,31.0,54687.78438883463,2.0,0,Medium
1038,2,8.0,27.0,24951.36244962036,6.0,0,Medium
1039,2,7.0,26.0,78036.1861571846,3.0,0,Medium
1040,2,7.0,43.0,63369.78438874664,3.0,1,Medium
1041,LOW,10.0,49.0,57805.8523553304,13.0,1,Low
1042,L,8.0,58.0,76937.11775888305,34.0,1,Low
1043,High,3.0,22.0,36386.569967612944,2.0,1,High
1044,3,4.0,27.0,47944.24640376203,1.0,1,Medium
1045,Low,9.0,68.0,109044.21819034815,47.0,1,Low
1046,H,3.0,32.0,63025.41278439259,14.0,1,High
1047,Low,10.0,39.0,24279.296013072748,13.0,1,Low
1048,Medium,8.0,48.0,104287.21973599785,21.0,1,Medium
1049,Medium,5.0,23.0,71025.33627524973,4.0,0,Medium
1050,Medium,9.0,62.0,128715.97115298436,2.0,0,Medium
1051,Medium,3.0,39.0,65334.12780194395,13.0,1,Medium
1052,High,6.0,33.0,89732.09255674559,13.0,1,High
1053,medium,3.0,54.0,32924.750083040395,29.0,0,Medium
1054,Medium,3.0,53.0,65622.19182309341,27.0,0,Medium
1055,Low,7.0,65.0,64534.28007930922,34.0,0,Low
1056,Medium,5.0,42.0,9942.746344646735,17.0,1,Medium
1057,Low,9.0,53.0,65664.57748152022,28.0,1,Low
1058,Low,5.0,67.0,178588.69940792824,18.0,1,Low
1059,Medium,4.0,49.0,104082.89129020149,7.0,0,Medium
1060,Low,9.0,46.0,35819.76268178232,22.0,1,Low
1061,Low,7.0,63.0,88914.61243784137,24.0,0,Low
1062,High,1.0,32.0,36820.9751808212,12.0,0,High
1063,Unknown,6.0,29.0,41764.58016113924,6.0,0,Medium
1064,3,1.0,41.0,43244.23861876392,5.0,1,Medium
1065,H,6.0,32.0,40511.50894682941,10.0,0,High
1066,low,7.0,73.0,91596.58488080156,38.0,1,Low
1067,Low,5.0,65.0,72199.06193082387,47.0,1,Low
1068,MEDIUM,3.0,27.0,51338.545768097785,7.0,1,Medium
1069,3,5.0,32.0,35708.920669873616,11.0,0,Medium
1070,Low,4.0,66.0,93768.19384955605,45.0,0,Low
1071,,4.0,58.0,131091.0548043004,40.0,0,Medium
1072,3,3.0,44.0,61698.97372205104,0.0,0,Medium
1073,Medium,8.0,37.0,27363.48754422675,15.0,0,Medium
1074,2,8.0,55.0,94749.1432581862,16.0,1,Medium
1075,Medium,7.0,25.0,65091.648591926016,7.0,1,Medium
1076,Medium,5.0,47.0,102556.65133881298,6.0,0,Medium
1077,3,5.0,43.0,125528.8991315928,0.0,0,Medium
1078,L,6.0,68.0,36714.32757382403,36.0,1,Low
1079,1,6.0,50.0,107646.64018364195,18.0,1,Medium
1080,Medium,3.0,25.0,21907.72664748459,6.0,1,Medium
1081,Unknown,3.0,40.0,66883.65253806047,11.0,0,Medium
1082,2,3.0,46.0,56158.510463304185,27.0,0,Medium
1083,3,5.0,53.0,67225.91518140219,16.0,1,Medium
1084,3,4.0,36.0,65332.89523633154,8.0,1,Medium
1085,High,3.0,38.0,74274.29197991129,18.0,0,High
1086,Medium,5.0,53.0,48920.67427573072,32.0,1,Medium
1087,Medium,5.0,55.0,28603.476594388827,30.0,0,Medium
1088,M,3.0,44.0,84717.87799533096,22.0,1,Medium
1089,Low,15.0,53.0,82396.30199876546,6.0,1,Low
1090,2,15.0,62.0,121540.92074323657,20.0,1,Medium
1091,High,4.0,34.0,62940.46629572509,8.0,0,High
1092,Low,10.0,54.0,125652.74886923896,4.0,1,Low
1093,High,6.0,29.0,45787.24597763908,6.0,1,High
1094,Medium,7.0,45.0,57217.46037724329,27.0,1,Medium
1095,Medium,5.0,56.0,151367.66469779226,35.0,1,Medium
1096,Medium,6.0,55.0,75517.3185342875,13.0,1,Medium
1097,M,8.0,46.0,85435.88731405315,13.0,0,Medium
1098,Medium,5.0,47.0,86305.18986889013,14.0,0,Medium
1099,High,6.0,44.0,61372.62942553705,10.0,0,High
1100,M,4.0,29.0,69804.78521571917,0.0,0,Medium
1101,High,4.0,44.0,45514.14388473282,0.0,1,High
1102,Unknown,6.0,44.0,65091.648591926016,24.0,1,Medium
1103,3,3.0,46.0,67976.30757704399,27.0,1,Medium
1104,Medium,2.0,72.0,115748.46535558435,7.0,0,Medium
1105,Medium,5.0,55.0,137983.4605879279,32.0,1,Medium
1106,low,10.0,48.0,78355.71942007741,27.0,1,Low
1107,Medium,2.0,31.0,57710.22964792025,8.0,0,Medium
1108,High,-1.0,23.0,43290.33087033301,1.0,0,High
1109,Medium,6.0,45.0,14859.986036954087,21.0,1,Medium
1110,Medium,8.0,45.0,65091.648591926016,24.0,0,Medium
1111,1,4.0,33.0,32116.360780539857,7.0,0,Medium
1112,Medium,9.0,48.0,90695.98009218246,5.0,0,Medium
1113,High,2.0,44.0,102033.25241931328,5.0,0,High
1114,medium,5.0,31.0,0.0,11.0,0,Medium
1115,2,6.0,42.0,49379.169686492896,4.0,1,Medium
1116,2,7.0,48.0,86986.0502909208,24.0,1,Medium
1117,2,2.0,61.0,85078.51957810244,30.0,0,Medium
1118,Low,8.0,45.0,36360.25390109357,6.0,0,Low
1119,Low,10.0,40.0,56053.10970826245,8.0,1,Low
1120,Low,8.0,51.0,18717.808055965368,31.0,1,Low
1121,Low,10.0,64.0,94435.10603562086,35.0,1,Low
1122,Low,6.0,45.0,119888.97566819156,4.0,1,Low
1123,High,1.0,39.0,104675.4283597637,7.0,0,High
1124,Low,8.0,47.0,79959.10169973264,11.0,0,Low
1125,High,6.0,18.0,0.0,0.0,1,High
1126,2,4.0,42.0,46786.82127404526,22.0,0,Medium
1127,Medium,7.0,24.0,10860.632494404095,6.0,0,Medium
1128,Low,6.0,16.0,28145.883581796807,0.0,0,Low
1129,L,6.0,86.0,176563.49143798245,45.0,0,Low
1130,High,2.0,48.0,22927.984389005425,25.0,0,High
1131,2,4.0,32.0,9447.64981844499,10.0,1,Medium
1132,Low,10.0,60.0,87957.11796563872,16.0,1,Low
1133,medium,2.0,39.0,53443.93375874528,17.0,0,Medium
1134,Low,5.0,38.0,60314.00103087209,18.0,1,Low
1135,H,5.0,29.0,51810.827113688014,2.0,0,High
1136,high,2.0,32.0,85434.56378755331,13.0,1,High
1137,3,1.0,26.0,19445.59093245393,0.0,1,Medium
1138,3,3.0,44.0,20840.91852633104,9.0,0,Medium
1139,Medium,3.0,20.0,25948.789610204916,0.0,0,Medium
1140,Low,4.0,68.0,103531.71929662047,11.0,0,Low
1141,Unknown,2.0,40.0,102514.52118926648,14.0,1,Medium
1142,Medium,9.0,72.0,203026.5893064552,42.0,1,Medium
1143,High,4.0,27.0,65385.06879086353,9.0,1,High
1144,M,9.0,45.0,42368.92321845295,24.0,1,Medium
1145,Low,10.0,68.0,65091.648591926016,16.0,1,Low
1146,Low,8.0,51.0,89250.01503889599,13.0,1,Low
1147,medium,6.0,45.0,40148.54674633979,11.0,0,Medium
1148,M,5.0,45.0,3572.0602895290504,24.0,0,Medium
1149,High,2.0,46.0,56188.3274853417,24.0,0,High
1150,1,8.0,42.0,118105.75691665243,23.0,1,Medium
1151,H,2.0,24.0,18146.19976521514,2.0,0,High
1152,2,6.0,49.0,76542.62553737892,3.0,0,Medium
1153,M,2.0,56.0,61888.0410693021,11.0,1,Medium
1154,Unknown,5.0,40.0,50425.7448113946,5.0,0,Medium
1155,M,2.0,55.0,14842.591600477226,15.0,0,Medium
1156,Low,10.0,54.0,40744.407341514896,9.0,0,Low
1157,Low,10.0,48.0,87367.40275164825,17.0,1,Low
1158,1,5.0,52.0,84035.50366310218,26.0,0,Medium
1159,High,1.0,21.0,9240.01664854246,3.0,0,High
1160,MEDIUM,9.0,20.0,0.0,1.0,1,Medium
1161,medium,3.0,57.0,26586.817088211603,28.0,1,Medium
1162,3,6.0,49.0,74494.45532438347,10.0,1,Medium
1163,Medium,2.0,60.0,101030.21320151136,10.0,0,Medium
1164,High,1.0,30.0,25762.88345441608,5.0,0,High
1165,Medium,8.0,52.0,117527.63323765784,5.0,0,Medium
1166,Unknown,6.0,35.0,75020.05705215472,13.0,1,Medium
1167,2,9.0,49.0,67932.239313568,21.0,1,Medium
1168,Low,9.0,58.0,144161.07401228178,19.0,0,Low
1169,3,2.0,53.0,65091.648591926016,35.0,0,Medium
1170,M,2.0,43.0,26021.024853109622,22.0,0,Medium
1171,Low,10.0,44.0,167835.81751870562,16.0,1,Low
1172,L,7.0,53.0,68914.62492887037,35.0,1,Low
1173,H,5.0,18.0,38128.02384611552,11.0,0,High
1174,Medium,5.0,26.0,56540.94700448043,3.0,0,Medium
1175,M,5.0,44.0,97347.3906947894,11.0,1,Medium
1176,,4.0,55.0,42619.239998965175,29.0,1,Medium
1177,Low,6.0,44.0,18606.113799893155,8.0,0,Low
1178,3,3.0,26.0,32602.37390928572,2.0,0,Medium
1179,Medium,2.0,45.0,43498.45394866007,6.0,0,Medium
1180,M,4.0,54.0,52588.59574309586,7.0,0,Medium
1181,Low,9.0,57.0,93432.23999273057,36.0,1,Low
1182,L,7.0,41.0,41186.18929573786,11.0,1,Low
1183,Low,9.0,68.0,118480.74296992872,30.0,0,Low
1184,Low,10.0,63.0,65588.0338975503,25.0,1,Low
1185,Medium,3.0,44.0,57369.40100016861,5.0,1,Medium
1186,1,6.0,63.0,125401.1050193271,41.0,0,Medium
1187,High,1.0,39.0,116887.50638554712,17.0,0,High
1188,Unknown,3.0,34.0,61941.38679013759,4.0,0,Medium
1189,HIGH,4.0,41.0,82389.39636223007,20.0,1,High
1190,2,6.0,29.0,31900.24724201565,7.0,1,Medium
1191,Low,5.0,53.0,64785.59147009453,0.0,0,Low
1192,M,9.0,38.0,58280.1690391744,7.0,1,Medium
1193,Low,10.0,63.0,90329.06347939832,34.0,1,Low
1194,Low,7.0,37.0,87565.67878461297,11.0,0,Low
1195,High,3.0,56.0,98164.30311452127,37.0,1,High
1196,High,6.0,18.0,39909.42787239672,0.0,0,High
1197,1,9.0,63.0,114937.39417168216,13.0,0,Medium
1198,3,4.0,44.0,51998.6818533397,11.0,0,Medium
1199,2,2.0,40.0,41703.547511354365,1.0,0,Medium
1200,Medium,5.0,39.0,26162.70465843123,5.0,0,Medium
1201,High,1.0,39.0,100966.5232279784,19.0,0,High
1202,Medium,3.0,43.0,79213.84495250747,18.0,1,Medium
1203,High,6.0,32.0,65091.648591926016,1.0,0,High
1204,High,4.0,46.0,104828.8755055124,5.0,0,High
1205,M,5.0,24.0,22008.297946987048,4.0,0,Medium
1206,High,6.0,44.0,61360.56445731426,22.0,1,High
1207,High,1.0,36.0,57782.03694688996,18.0,0,High
1208,2,3.0,51.0,91974.43382492974,8.0,0,Medium
1209,1,5.0,59.0,2537.534840441527,14.0,1,Medium
1210,low,4.0,44.0,72780.99374968105,12.0,0,Low
1211,Medium,9.0,29.0,23022.79234470138,9.0,1,Medium
1212,Medium,6.0,67.0,126544.54870538625,18.0,1,Medium
1213,,6.0,72.0,99642.78659446748,18.0,1,Medium
1214,Low,4.0,60.0,51471.165706622174,39.0,1,Low
1215,L,4.0,55.0,58085.20820336365,22.0,0,Low
1216,low,6.0,48.0,54565.44989164752,14.0,0,Low
1217,Medium,3.0,40.0,34969.382911586785,13.0,0,Medium
1218,Low,5.0,67.0,139890.33096705045,2.0,0,Low
1219,Unknown,10.0,28.0,62365.16374136903,5.0,0,Medium
1220,L,5.0,47.0,27735.21469321648,18.0,1,Low
1221,3,5.0,36.0,39498.15359836403,3.0,1,Medium
1222,Low,5.0,48.0,7037.583731958468,7.0,0,Low
1223,Medium,8.0,65.0,77694.92569701842,7.0,1,Medium
1224,,5.0,68.0,63019.014315253145,27.0,1,Medium
1225,Low,7.0,66.0,76671.53618495661,4.0,0,Low
1226,High,5.0,37.0,58212.96841691934,7.0,1,High
1227,,8.0,53.0,96436.31000595247,11.0,1,Medium
1228,High,1.0,33.0,61203.36704449636,13.0,1,High
1229,Medium,7.0,35.0,23608.837380485817,13.0,0,Medium
1230,M,4.0,61.0,11946175.54542092,51.0,0,Medium
1231,medium,5.0,58.0,53685.66548201504,36.0,0,Medium
1232,H,3.0,29.0,21064.88468996047,5.0,0,High
1233,Medium,8.0,59.0,87280.12587995375,8.0,1,Medium
1234,High,3.0,39.0,57852.88095027437,19.0,1,High
1235,Low,5.0,45.0,44203.14439156102,25.0,0,Low
1236,High,4.0,21.0,57627.12891284007,3.0,0,High
1237,Low,8.0,62.0,113409.0833090302,16.0,1,Low
1238,2,4.0,45.0,64980.40755485514,1.0,0,Medium
1239,low,10.0,73.0,88534.20151381049,53.0,1,Low
1240,High,6.0,18.0,39598.98564901038,0.0,0,High
1241,M,7.0,36.0,98809.4738676173,9.0,0,Medium
1242,1,6.0,50.0,100449.7719160208,10.0,0,Medium
1243,2,4.0,63.0,108809.49519203635,40.0,1,Medium
1244,Medium,2.0,55.0,103838.00286176582,36.0,1,Medium
1245,Low,5.0,62.0,85073.29834864072,5.0,0,Low
1246,Medium,6.0,37.0,27630.82634927789,1.0,0,Medium
1247,Low,8.0,50.0,93622.47443192104,4.0,1,Low
1248,high,1.0,32.0,21365.201189189826,22.0,1,High
1249,,5.0,50.0,93376.49437402532,29.0,1,Medium
1250,L,8.0,70.0,123346.23769377994,35.0,0,Low
1251,Unknown,1.0,28.0,34898.34096809265,8.0,1,Medium
1252,High,1.0,30.0,60897.95936475173,6.0,1,High
1253,MEDIUM,3.0,30.0,52307.624722847744,12.0,0,Medium
1254,Medium,5.0,41.0,71064.88591936196,11.0,1,Medium
1255,High,4.0,34.0,59347.208357350464,5.0,0,High
1256,Medium,7.0,44.0,4464.134250013667,25.0,0,Medium
1257,Medium,6.0,51.0,111171.47619892968,33.0,1,Medium
1258,Medium,8.0,46.0,40180.3904863027,13.0,1,Medium
1259,3,6.0,31.0,26037.608659221874,9.0,0,Medium
1260,Medium,5.0,34.0,56112.42049652092,15.0,0,Medium
1261,High,3.0,27.0,75353.08491307376,0.0,1,High
1262,Low,9.0,55.0,81730.9958285822,17.0,0,Low
1263,Medium,3.0,23.0,5350.622428115003,4.0,0,Medium
1264,Low,10.0,59.0,92672.20124508555,30.0,1,Low
1265,Medium,3.0,35.0,54158.02081648661,17.0,1,Medium
1266,3,4.0,33.0,42161.08540135353,14.0,0,Medium
1267,3,1.0,30.0,24251.082081407243,8.0,0,Medium
1268,,4.0,55.0,94305.27352302188,17.0,1,Medium
1269,3,3.0,52.0,77157.37313302902,7.0,0,Medium
1270,1,10.0,39.0,84492.07473347141,9.0,0,Medium
1271,L,8.0,64.0,140113.52808065762,9.0,0,Low
1272,HIGH,1.0,42.0,61733.15541176004,20.0,1,High
1273,Medium,5.0,44.0,127072.03423704236,1.0,1,Medium
1274,Low,5.0,65.0,163426.10398425508,0.0,0,Low
1275,Unknown,2.0,24.0,14816.946835134398,4.0,0,Medium
1276,Low,7.0,61.0,89696.34312832404,29.0,1,Low
1277,Medium,5.0,68.0,77588.80410710556,15.0,0,Medium
1278,2,6.0,23.0,31710.95455050846,3.0,0,Medium
1279,L,8.0,49.0,102733.48800443858,13.0,1,Low
1280,High,2.0,33.0,82749.0507391585,2.0,1,High
1281,3,2.0,25.0,57541.94415059431,6.0,0,Medium
1282,M,5.0,49.0,94025.05649144352,0.0,0,Medium
1283,Medium,8.0,71.0,118816.9932123632,37.0,0,Medium
1284,1,4.0,44.0,49424.045819487175,28.0,0,Medium
1285,Medium,4.0,50.0,54178.51001494964,31.0,1,Medium
1286,low,10.0,47.0,75318.78275972969,19.0,1,Low
1287,Medium,2.0,36.0,79417.11455041396,0.0,0,Medium
1288,medium,7.0,48.0,53206.30358399568,28.0,1,Medium
1289,3,6.0,33.0,91306.00043241453,14.0,1,Medium
1290,High,5.0,28.0,79118.17440256367,6.0,1,High
1291,High,5.0,36.0,65545.45404464538,3.0,1,High
1292,high,4.0,31.0,69137.32656203311,11.0,0,High
1293,Medium,2.0,55.0,26130.68498945229,34.0,0,Medium
1294,3,4.0,25.0,36993.76445303498,2.0,1,Medium
1295,,1.0,40.0,60157.5901849615,20.0,0,Medium
1296,Medium,2.0,49.0,78928.42558910174,17.0,0,Medium
1297,High,1.0,42.0,71068.3014620623,2.0,0,High
1298,3,2.0,16.0,4017.070569076837,0.0,1,Medium
1299,1,10.0,57.0,134317.1186585587,15.0,1,Medium
1300,3,1.0,32.0,47477.44028270837,13.0,1,Medium
1301,Low,8.0,49.0,73764.16841514884,22.0,1,Low
1302,3,1.0,28.0,0.0,9.0,0,Medium
1303,3,6.0,37.0,114949.49650353,11.0,1,Medium
1304,High,4.0,34.0,0.0,11.0,1,High
1305,2,2.0,47.0,101678.99816405962,11.0,1,Medium
1306,L,6.0,56.0,68991.88942191818,35.0,1,Low
1307,1,7.0,56.0,119095.66565286872,10.0,1,Medium
1308,2,7.0,49.0,104279.867312792,9.0,1,Medium
1309,L,7.0,67.0,93631.66508410964,12.0,0,Low
1310,High,1.0,25.0,42925.16802793981,1.0,0,High
1311,Low,9.0,44.0,25312.65804816466,35.0,1,Low
1312,Medium,8.0,60.0,120016.89780537615,33.0,1,Medium
1313,M,15.0,56.0,32922.73717131737,17.0,1,Medium
1314,Low,4.0,50.0,63462.1086014256,26.0,0,Low
1315,Low,4.0,65.0,65091.648591926016,36.0,1,Low
1316,High,6.0,35.0,47990.32348658827,11.0,0,High
1317,High,2.0,25.0,65091.648591926016,3.0,1,High
1318,M,9.0,37.0,68569.63693242842,18.0,0,Medium
1319,Low,9.0,46.0,97797.03904848246,23.0,1,Low
1320,L,6.0,63.0,172528.84577982817,37.0,1,Low
1321,3,5.0,27.0,67364.21202666243,7.0,1,Medium
1322,High,5.0,39.0,25908.34270893772,6.0,1,High
1323,High,5.0,29.0,19646.829487372077,2.0,0,High
1324,Low,7.0,57.0,66407.3605611038,35.0,1,Low
1325,Medium,6.0,44.0,131145.4185417878,11.0,1,Medium
1326,Medium,8.0,37.0,88511.65978819485,10.0,1,Medium
1327,Low,5.0,39.0,38722.40271795184,5.0,0,Low
1328,Medium,4.0,53.0,76330.95904645194,7.0,0,Medium
1329,Medium,3.0,38.0,33095.44585929621,4.0,0,Medium
1330,Medium,7.0,24.0,34797.405761040834,2.0,0,Medium
1331,1,8.0,45.0,65091.648591926016,12.0,1,Medium
1332,2,6.0,45.0,88580.34282423757,3.0,0,Medium
1333,medium,3.0,74.0,167262.21761141723,25.0,0,Medium
1334,Medium,8.0,37.0,68530.26195754702,10.0,1,Medium
1335,Medium,6.0,50.0,49641.73366608528,12.0,0,Medium
1336,Medium,3.0,46.0,74545.63833046556,13.0,1,Medium
1337,Low,9.0,64.0,111589.73236401244,10.0,0,Low
1338,High,5.0,37.0,50907.217631229,8.0,1,High
1339,High,5.0,25.0,72922.0089551777,7.0,1,High
1340,1,10.0,86.0,185643.2394033036,17.0,1,Medium
1341,H,1.0,27.0,45128.24013632074,3.0,1,High
1342,Low,10.0,57.0,129911.00548583384,36.0,0,Low
1343,Medium,9.0,41.0,65912.93944590434,12.0,0,Medium
1344,Low,10.0,75.0,103480.41374045478,27.0,1,Low
1345,1,6.0,69.0,101451.88115505462,36.0,0,Medium
1346,Medium,-1.0,46.0,124312.58131233946,15.0,1,Medium
1347,MEDIUM,3.0,42.0,71479.12242757999,13.0,1,Medium
1348,2,7.0,53.0,75478.82512452225,32.0,0,Medium
1349,Unknown,3.0,37.0,36243.288987893655,17.0,0,Medium
1350,3,3.0,44.0,20906.52879044481,18.0,1,Medium
1351,Low,5.0,53.0,112544.16400547062,6.0,0,Low
1352,High,3.0,28.0,11207.178228409335,10.0,1,High
1353,M,6.0,47.0,88069.06886616306,12.0,1,Medium
1354,Medium,3.0,23.0,65091.648591926016,0.0,0,Medium
1355,Medium,9.0,42.0,102685.07761001268,13.0,0,Medium
1356,Unknown,1.0,33.0,76899.2632307623,5.0,0,Medium
1357,Medium,4.0,27.0,19584.44689260625,0.0,0,Medium
1358,high,6.0,44.0,41496.54316683096,18.0,1,High
1359,Low,5.0,50.0,60969.51355541083,1.0,1,Low
1360,3,6.0,28.0,53103.242484670496,10.0,0,Medium
1361,H,4.0,51.0,79472.72742058452,19.0,1,High
1362,High,4.0,40.0,39472.48343208336,0.0,0,High
1363,Medium,2.0,33.0,70491.6822140703,5.0,0,Medium
1364,3,3.0,18.0,0.0,0.0,0,Medium
1365,Medium,5.0,47.0,66606.2483394879,23.0,0,Medium
1366,Low,-1.0,45.0,50329.32587192991,20.0,0,Low
1367,High,6.0,18.0,2279.170791697634,0.0,1,High
1368,Medium,3.0,33.0,50363.00493242698,15.0,0,Medium
1369,Low,9.0,49.0,27846.83523245353,12.0,1,Low
1370,2,8.0,63.0,14331.181636998424,27.0,0,Medium
1371,high,3.0,29.0,26237.7400629354,5.0,1,High
